,Name,Link,Affected Package,Description
0,CVE-2020-9991 in sqlite3 | CVE-2020-9991 | Snyk,https://www.cve.org/CVERecord?id=CVE-2020-9991,Ubuntu:20.04,"This issue was addressed with improved checks. This issue is fixed in macOS Big Sur 11.0.1, watchOS 7.0, iOS 14.0 and iPadOS 14.0, iCloud for Windows 7.21, tvOS 14.0. A remote attacker may be able to cause a denial of service."
1,Information Exposure in sqlite3 | CVE-2020-9849 | Snyk,https://www.cve.org/CVERecord?id=CVE-2020-9849,Ubuntu:20.04,"An information disclosure issue was addressed with improved state management. This issue is fixed in macOS Big Sur 11.0.1, watchOS 7.0, iOS 14.0 and iPadOS 14.0, iTunes for Windows 12.10.9, iCloud for Windows 11.5, tvOS 14.0. A remote attacker may be able to leak memory."
2,Information Exposure in sqlite3 | CVE-2020-9849 | Snyk,https://www.cve.org/CVERecord?id=CVE-2020-9849,Ubuntu:20.04,"An information disclosure issue was addressed with improved state management. This issue is fixed in macOS Big Sur 11.0.1, watchOS 7.0, iOS 14.0 and iPadOS 14.0, iTunes for Windows 12.10.9, iCloud for Windows 11.5, tvOS 14.0. A remote attacker may be able to leak memory."
3,Uncontrolled Recursion in pcre3 | CVE-2017-11164 | Snyk,https://www.cve.org/CVERecord?id=CVE-2017-11164,Ubuntu:20.04,"In PCRE 8.41, the OP_KETRMAX feature in the match function in pcre_exec.c allows stack exhaustion (uncontrolled recursion) when processing a crafted regular expression."
4,Out-of-bounds Write in ncurses | CVE-2021-39537 | Snyk,https://www.cve.org/CVERecord?id=CVE-2021-39537,Ubuntu:20.04,An issue was discovered in ncurses through v6.2-1. _nc_captoinfo in captoinfo.c has a heap-based buffer overflow.
5,Out-of-bounds Read in ncurses | CVE-2022-29458 | Snyk,https://www.cve.org/CVERecord?id=CVE-2022-29458,Ubuntu:20.04,ncurses 6.3 before patch 20220416 has an out-of-bounds read and segmentation violation in convert_strings in tinfo/read_entry.c in the terminfo library.
6,Integer Overflow or Wraparound in krb5 | CVE-2018-5709 | Snyk,https://www.cve.org/CVERecord?id=CVE-2018-5709,Ubuntu:20.04,"An issue was discovered in MIT Kerberos 5 (aka krb5) through 1.16. There is a variable ""dbentry->n_key_data"" in kadmin/dbutil/dump.c that can store 16-bit data but unknowingly the developer has assigned a ""u4"" variable to it, which is for 32-bit data. An attacker can use this vulnerability to affect other artifacts of the database as we know that a Kerberos database dump file contains trusted data."
7,CVE-2022-3219 in gnupg2 | CVE-2022-3219 | Snyk,https://www.cve.org/CVERecord?id=CVE-2022-3219,Ubuntu:20.04,© 2023 Snyk Limited
8,Use After Free in glibc | CVE-2021-33574 | Snyk,https://www.cve.org/CVERecord?id=CVE-2021-33574,Ubuntu:20.04,"The mq_notify function in the GNU C Library (aka glibc) versions 2.32 and 2.33 has a use-after-free. It may use the notification thread attributes object (passed through its struct sigevent parameter) after it has been freed by the caller, leading to a denial of service (application crash) or possibly unspecified other impact."
9,Allocation of Resources Without Limits or Throttling in glibc | CVE-2016-20013 | Snyk,https://www.cve.org/CVERecord?id=CVE-2016-20013,Ubuntu:20.04,sha256crypt and sha512crypt through 0.6 allow attackers to cause a denial of service (CPU consumption) because the algorithm's runtime is proportional to the square of the length of the password.
10,Improper Input Validation in coreutils | CVE-2016-2781 | Snyk,https://www.cve.org/CVERecord?id=CVE-2016-2781,Ubuntu:20.04,"chroot in GNU coreutils, when used with --userspec, allows local users to escape to the parent session via a crafted TIOCSTI ioctl call, which pushes characters to the terminal's input buffer."
11,Off-by-one Error in systemd | CVE-2022-3821 | Snyk,https://www.cve.org/CVERecord?id=CVE-2022-3821,Ubuntu:20.04,"An off-by-one Error issue was discovered in Systemd in format_timespan() function of time-util.c. An attacker could supply specific values for time and accuracy that leads to buffer overrun in format_timespan(), leading to a Denial of Service."
12,Out-of-bounds Read in sqlite3 | CVE-2020-9794 | Snyk,https://www.cve.org/CVERecord?id=CVE-2020-9794,Ubuntu:20.04,"An out-of-bounds read was addressed with improved bounds checking. This issue is fixed in iOS 13.5 and iPadOS 13.5, macOS Catalina 10.15.5, tvOS 13.4.5, watchOS 6.2.5, iTunes 12.10.7 for Windows, iCloud for Windows 11.2, iCloud for Windows 7.19. A malicious application may cause a denial of service or potentially disclose memory contents."
13,NULL Pointer Dereference in krb5 | CVE-2021-36222 | Snyk,https://www.cve.org/CVERecord?id=CVE-2021-36222,Ubuntu:20.04,ec_verify in kdc/kdc_preauth_ec.c in the Key Distribution Center (KDC) in MIT Kerberos 5 (aka krb5) before 1.18.4 and 1.19.x before 1.19.2 allows remote attackers to cause a NULL pointer dereference and daemon crash. This occurs because a return value is not properly managed in a certain situation.
14,NULL Pointer Dereference in krb5 | CVE-2021-37750 | Snyk,https://www.cve.org/CVERecord?id=CVE-2021-37750,Ubuntu:20.04,The Key Distribution Center (KDC) in MIT Kerberos 5 (aka krb5) before 1.18.5 and 1.19.x before 1.19.3 has a NULL pointer dereference in kdc/do_tgs_req.c via a FAST inner body that lacks a server field.
15,Out-of-bounds Write in heimdal | CVE-2022-3437 | Snyk,https://www.cve.org/CVERecord?id=CVE-2022-3437,Ubuntu:20.04,"A heap-based buffer overflow vulnerability was found in Samba within the GSSAPI unwrap_des() and unwrap_des3() routines of Heimdal. The DES and Triple-DES decryption routines in the Heimdal GSSAPI library allow a length-limited write buffer overflow on malloc() allocated memory when presented with a maliciously small packet. This flaw allows a remote user to send specially crafted malicious data to the application, possibly resulting in a denial of service (DoS) attack."
16,NULL Pointer Dereference in heimdal | CVE-2021-44758 | Snyk,https://www.cve.org/CVERecord?id=CVE-2021-44758,Ubuntu:20.04,Heimdal before 7.7.1 allows attackers to cause a NULL pointer dereference in a SPNEGO acceptor via a preferred_mech_type of GSS_C_NO_OID and a nonzero initial_response value to send_accept.
17,CVE-2022-44640 in heimdal | CVE-2022-44640 | Snyk,https://www.cve.org/CVERecord?id=CVE-2022-44640,Ubuntu:20.04,Heimdal before 7.7.1 allows remote attackers to execute arbitrary code because of an invalid free in the ASN.1 codec used by the Key Distribution Center (KDC).
18,Off-by-one Error in heimdal | CVE-2022-41916 | Snyk,https://www.cve.org/CVERecord?id=CVE-2022-41916,Ubuntu:20.04,"Heimdal is an implementation of ASN.1/DER, PKIX, and Kerberos. Versions prior to 7.7.1 are vulnerable to a denial of service vulnerability in Heimdal's PKI certificate validation library, affecting the KDC (via PKINIT) and kinit (via PKINIT), as well as any third-party applications using Heimdal's libhx509. Users should upgrade to Heimdal 7.7.1 or 7.8. There are no known workarounds for this issue."
19,Integer Overflow or Wraparound in heimdal | CVE-2022-42898 | Snyk,https://www.cve.org/CVERecord?id=CVE-2022-42898,Ubuntu:20.04,"PAC parsing in MIT Kerberos 5 (aka krb5) before 1.19.4 and 1.20.x before 1.20.1 has integer overflows that may lead to remote code execution (in KDC, kadmind, or a GSS or Kerberos application server) on 32-bit platforms (which have a resultant heap-based buffer overflow), and cause a denial of service on other platforms. This occurs in krb5_pac_parse in lib/krb5/krb/pac.c. Heimdal before 7.7.1 has ""a similar bug."""
20,CVE-2022-43552 in curl | CVE-2022-43552 | Snyk,https://www.cve.org/CVERecord?id=CVE-2022-43552,Ubuntu:20.04,© 2023 Snyk Limited
