,Name,Link,Affected Package,Description
0,Information Exposure in util-linux | CVE-2022-0563 | Snyk,https://www.cve.org/CVERecord?id=CVE-2022-0563,Debian:11,"A flaw was found in the util-linux chfn and chsh utilities when compiled with Readline support. The Readline library uses an ""INPUTRC"" environment variable to get a path to the library config file. When the library cannot parse the specified file, it prints an error message containing data from the file. This flaw allows an unprivileged user to read root-owned files, potentially leading to privilege escalation. This flaw affects util-linux versions prior to 2.37.4."
1,Out-of-bounds Read in tiff | CVE-2022-1056 | Snyk,https://www.cve.org/CVERecord?id=CVE-2022-1056,Debian:11,"Out-of-bounds Read error in tiffcrop in libtiff 4.3.0 allows attackers to cause a denial-of-service via a crafted tiff file. For users that compile libtiff from sources, the fix is available with commit 46dc8fcd."
2,Resource Exhaustion in tiff | CVE-2022-1210 | Snyk,https://www.cve.org/CVERecord?id=CVE-2022-1210,Debian:11,A vulnerability classified as problematic was found in LibTIFF 4.3.0. Affected by this vulnerability is the TIFF File Handler of tiff2ps. Opening a malicious file leads to a denial of service. The attack can be launched remotely but requires user interaction. The exploit has been disclosed to the public and may be used.
3,Out-of-bounds Read in tiff | CVE-2022-1354 | Snyk,https://www.cve.org/CVERecord?id=CVE-2022-1354,Debian:11,"A heap buffer overflow flaw was found in Libtiffs' tiffinfo.c in TIFFReadRawDataStriped() function. This flaw allows an attacker to pass a crafted TIFF file to the tiffinfo tool, triggering a heap buffer overflow issue and causing a crash that leads to a denial of service."
4,Stack-based Buffer Overflow in tiff | CVE-2022-1355 | Snyk,https://www.cve.org/CVERecord?id=CVE-2022-1355,Debian:11,"A stack buffer overflow flaw was found in Libtiffs' tiffcp.c in main() function. This flaw allows an attacker to pass a crafted TIFF file to the tiffcp tool, triggering a stack buffer overflow issue, possibly corrupting the memory, and causing a crash that leads to a denial of service."
5,Out-of-bounds Read in tiff | CVE-2022-1623 | Snyk,https://www.cve.org/CVERecord?id=CVE-2022-1623,Debian:11,"LibTIFF master branch has an out-of-bounds read in LZWDecode in libtiff/tif_lzw.c:624, allowing attackers to cause a denial-of-service via a crafted tiff file. For users that compile libtiff from sources, the fix is available with commit b4e79bfa."
6,Out-of-bounds Read in tiff | CVE-2022-1622 | Snyk,https://www.cve.org/CVERecord?id=CVE-2022-1622,Debian:11,"LibTIFF master branch has an out-of-bounds read in LZWDecode in libtiff/tif_lzw.c:619, allowing attackers to cause a denial-of-service via a crafted tiff file. For users that compile libtiff from sources, the fix is available with commit b4e79bfa."
7,Divide By Zero in tiff | CVE-2022-2056 | Snyk,https://www.cve.org/CVERecord?id=CVE-2022-2056,Debian:11,"Divide By Zero error in tiffcrop in libtiff 4.4.0 allows attackers to cause a denial-of-service via a crafted tiff file. For users that compile libtiff from sources, the fix is available with commit f3a5e010."
8,Divide By Zero in tiff | CVE-2022-2057 | Snyk,https://www.cve.org/CVERecord?id=CVE-2022-2057,Debian:11,"Divide By Zero error in tiffcrop in libtiff 4.4.0 allows attackers to cause a denial-of-service via a crafted tiff file. For users that compile libtiff from sources, the fix is available with commit f3a5e010."
9,Divide By Zero in tiff | CVE-2022-2058 | Snyk,https://www.cve.org/CVERecord?id=CVE-2022-2058,Debian:11,"Divide By Zero error in tiffcrop in libtiff 4.4.0 allows attackers to cause a denial-of-service via a crafted tiff file. For users that compile libtiff from sources, the fix is available with commit f3a5e010."
10,Out-of-bounds Write in tiff | CVE-2022-34526 | Snyk,https://www.cve.org/CVERecord?id=CVE-2022-34526,Debian:11,"A stack overflow was discovered in the _TIFFVGetField function of Tiffsplit v4.4.0. This vulnerability allows attackers to cause a Denial of Service (DoS) via a crafted TIFF file parsed by the ""tiffsplit"" or ""tiffcrop"" utilities."
11,Out-of-bounds Read in tiff | CVE-2022-2869 | Snyk,https://www.cve.org/CVERecord?id=CVE-2022-2869,Debian:11,"libtiff's tiffcrop tool has a uint32_t underflow which leads to out of bounds read and write in the extractContigSamples8bits routine. An attacker who supplies a crafted file to tiffcrop could trigger this flaw, most likely by tricking a user into opening the crafted file with tiffcrop. Triggering this flaw could cause a crash or potentially further exploitation."
