,Name,Link,Affected Package,Description
0,Information Exposure in util-linux | CVE-2022-0563 | Snyk,https://www.cve.org/CVERecord?id=CVE-2022-0563,Debian:11,"A flaw was found in the util-linux chfn and chsh utilities when compiled with Readline support. The Readline library uses an ""INPUTRC"" environment variable to get a path to the library config file. When the library cannot parse the specified file, it prints an error message containing data from the file. This flaw allows an unprivileged user to read root-owned files, potentially leading to privilege escalation. This flaw affects util-linux versions prior to 2.37.4."
1,CVE-2005-2541 in tar | CVE-2005-2541 | Snyk,https://www.cve.org/CVERecord?id=CVE-2005-2541,Debian:11,"Tar 1.15.1 does not properly warn the user when extracting setuid or setgid files, which may allow local users or remote attackers to gain privileges."
2,Authentication Bypass in systemd | CVE-2020-13529 | Snyk,https://www.cve.org/CVERecord?id=CVE-2020-13529,Debian:11,An exploitable denial-of-service vulnerability exists in Systemd 245. A specially crafted DHCP FORCERENEW packet can cause a server running the DHCP client to be vulnerable to a DHCP ACK spoofing attack. An attacker can forge a pair of FORCERENEW and DCHP ACK packets to reconfigure the server.
3,Off-by-one Error in systemd | CVE-2022-3821 | Snyk,https://www.cve.org/CVERecord?id=CVE-2022-3821,Debian:11,"An off-by-one Error issue was discovered in Systemd in format_timespan() function of time-util.c. An attacker could supply specific values for time and accuracy that leads to buffer overrun in format_timespan(), leading to a Denial of Service."
4,CVE-2022-4415 in systemd | CVE-2022-4415 | Snyk,https://www.cve.org/CVERecord?id=CVE-2022-4415,Debian:11,A vulnerability was found in systemd. This security flaw can cause a local information leak due to systemd-coredump not respecting the fs.suid_dumpable kernel setting.
5,Link Following in systemd | CVE-2013-4392 | Snyk,https://www.cve.org/CVERecord?id=CVE-2013-4392,Debian:11,"systemd, when updating file permissions, allows local users to change the permissions and SELinux security contexts for arbitrary files via a symlink attack on unspecified files."
6,Out-of-bounds Read in sqlite3 | CVE-2021-36690 | Snyk,https://www.cve.org/CVERecord?id=CVE-2021-36690,Debian:11,"** DISPUTED ** A segmentation fault can occur in the sqlite3.exe command-line component of SQLite 3.36.0 via the idxGetTableInfo function when there is a crafted SQL query. NOTE: the vendor disputes the relevance of this report because a sqlite3.exe user already has full privileges (e.g., is intentionally allowed to execute commands). This report does NOT imply any problem in the SQLite library."
7,Memory Leak in sqlite3 | CVE-2021-45346 | Snyk,https://www.cve.org/CVERecord?id=CVE-2021-45346,Debian:11,"** DISPUTED ** A Memory Leak vulnerability exists in SQLite Project SQLite3 3.35.1 and 3.37.0 via maliciously crafted SQL Queries (made via editing the Database File), it is possible to query a record, and leak subsequent bytes of memory that extend beyond the record, which could let a malicious user obtain sensitive information. NOTE: The developer disputes this as a vulnerability stating that If you give SQLite a corrupted database file and submit a query against the database, it might read parts of the database that you did not intend or expect."
8,Improper Validation of Array Index in sqlite3 | CVE-2022-35737 | Snyk,https://www.cve.org/CVERecord?id=CVE-2022-35737,Debian:11,SQLite 1.0.12 through 3.39.x before 3.39.2 sometimes allows an array-bounds overflow if billions of bytes are used in a string argument to a C API.
9,Access Restriction Bypass in shadow | CVE-2007-5686 | Snyk,https://www.cve.org/CVERecord?id=CVE-2007-5686,Debian:11,"initscripts in rPath Linux 1 sets insecure permissions for the /var/log/btmp file, which allows local users to obtain sensitive information regarding authentication attempts.  NOTE: because sshd detects the insecure permissions and does not log certain events, this also prevents sshd from logging failed authentication attempts by remote attackers."
10,Time-of-check Time-of-use (TOCTOU) in shadow | CVE-2013-4235 | Snyk,https://www.cve.org/CVERecord?id=CVE-2013-4235,Debian:11,shadow: TOCTOU (time-of-check time-of-use) race condition when copying and removing directory trees
11,Incorrect Permission Assignment for Critical Resource in shadow | CVE-2019-19882 | Snyk,https://www.cve.org/CVERecord?id=CVE-2019-19882,Debian:11,"shadow 4.8, in certain circumstances affecting at least Gentoo, Arch Linux, and Void Linux, allows local users to obtain root access because setuid programs are misconfigured. Specifically, this affects shadow 4.8 when compiled using --with-libpam but without explicitly passing --disable-account-tools-setuid, and without a PAM configuration suitable for use with setuid account management tools. This combination leads to account management tools (groupadd, groupdel, groupmod, useradd, userdel, usermod) that can easily be used by unprivileged local users to escalate privileges to root in multiple ways. This issue became much more relevant in approximately December 2019 when an unrelated bug was fixed (i.e., the chmod calls to suidusbins were fixed in the upstream Makefile which is now included in the release version 4.8)."
12,Improper Verification of Cryptographic Signature in perl | CVE-2020-16156 | Snyk,https://www.cve.org/CVERecord?id=CVE-2020-16156,Debian:11,CPAN 2.28 allows Signature Verification Bypass.
13,Link Following in perl | CVE-2011-4116 | Snyk,https://www.cve.org/CVERecord?id=CVE-2011-4116,Debian:11,_is_safe in the File::Temp module for Perl does not properly handle symlinks.
14,Out-of-Bounds in pcre3 | CVE-2017-7245 | Snyk,https://www.cve.org/CVERecord?id=CVE-2017-7245,Debian:11,Stack-based buffer overflow in the pcre32_copy_substring function in pcre_get.c in libpcre1 in PCRE 8.40 allows remote attackers to cause a denial of service (WRITE of size 4) or possibly have unspecified other impact via a crafted file.
15,Out-of-Bounds in pcre3 | CVE-2017-16231 | Snyk,https://www.cve.org/CVERecord?id=CVE-2017-16231,Debian:11,"** DISPUTED ** In PCRE 8.41, after compiling, a pcretest load test PoC produces a crash overflow in the function match() in pcre_exec.c because of a self-recursive call. NOTE: third parties dispute the relevance of this report, noting that there are options that can be used to limit the amount of stack that is used."
16,Uncontrolled Recursion in pcre3 | CVE-2017-11164 | Snyk,https://www.cve.org/CVERecord?id=CVE-2017-11164,Debian:11,"In PCRE 8.41, the OP_KETRMAX feature in the match function in pcre_exec.c allows stack exhaustion (uncontrolled recursion) when processing a crafted regular expression."
17,Out-of-Bounds in pcre3 | CVE-2017-7246 | Snyk,https://www.cve.org/CVERecord?id=CVE-2017-7246,Debian:11,Stack-based buffer overflow in the pcre32_copy_substring function in pcre_get.c in libpcre1 in PCRE 8.40 allows remote attackers to cause a denial of service (WRITE of size 268) or possibly have unspecified other impact via a crafted file.
18,Out-of-bounds Read in pcre3 | CVE-2019-20838 | Snyk,https://www.cve.org/CVERecord?id=CVE-2019-20838,Debian:11,"libpcre in PCRE before 8.43 allows a subject buffer over-read in JIT when UTF is disabled, and \X or \R has more than one fixed quantifier, a related issue to CVE-2019-20454."
19,Inadequate Encryption Strength in openssl | CVE-2022-2097 | Snyk,https://www.cve.org/CVERecord?id=CVE-2022-2097,Debian:11,"AES OCB mode for 32-bit x86 platforms using the AES-NI assembly optimised implementation will not encrypt the entirety of the data under some circumstances. This could reveal sixteen bytes of data that was preexisting in the memory that wasn't written. In the special case of ""in place"" encryption, sixteen bytes of the plaintext would be revealed. Since OpenSSL does not support OCB based cipher suites for TLS and DTLS, they are both unaffected. Fixed in OpenSSL 3.0.5 (Affected 3.0.0-3.0.4). Fixed in OpenSSL 1.1.1q (Affected 1.1.1-1.1.1p)."
20,Cryptographic Issues in openssl | CVE-2007-6755 | Snyk,https://www.cve.org/CVERecord?id=CVE-2007-6755,Debian:11,"The NIST SP 800-90A default statement of the Dual Elliptic Curve Deterministic Random Bit Generation (Dual_EC_DRBG) algorithm contains point Q constants with a possible relationship to certain ""skeleton key"" values, which might allow context-dependent attackers to defeat cryptographic protection mechanisms by leveraging knowledge of those values.  NOTE: this is a preliminary CVE for Dual_EC_DRBG; future research may provide additional details about point Q and associated attacks, and could potentially lead to a RECAST or REJECT of this CVE."
21,Cryptographic Issues in openssl | CVE-2010-0928 | Snyk,https://www.cve.org/CVERecord?id=CVE-2010-0928,Debian:11,"OpenSSL 0.9.8i on the Gaisler Research LEON3 SoC on the Xilinx Virtex-II Pro FPGA uses a Fixed Width Exponentiation (FWE) algorithm for certain signature calculations, and does not verify the signature before providing it to a caller, which makes it easier for physically proximate attackers to determine the private key via a modified supply voltage for the microprocessor, related to a ""fault-based attack."""
22,Improper Initialization in openldap | CVE-2017-14159 | Snyk,https://www.cve.org/CVERecord?id=CVE-2017-14159,Debian:11,"slapd in OpenLDAP 2.4.45 and earlier creates a PID file after dropping privileges to a non-root account, which might allow local users to kill arbitrary processes by leveraging access to this non-root account for PID file modification before a root script executes a ""kill cat /pathname"" command, as demonstrated by openldap-initscript."
23,Out-of-Bounds in openldap | CVE-2017-17740 | Snyk,https://www.cve.org/CVERecord?id=CVE-2017-17740,Debian:11,"contrib/slapd-modules/nops/nops.c in OpenLDAP through 2.4.45, when both the nops module and the memberof overlay are enabled, attempts to free a buffer that was allocated on the stack, which allows remote attackers to cause a denial of service (slapd crash) via a member MODDN operation."
24,Cryptographic Issues in openldap | CVE-2015-3276 | Snyk,https://www.cve.org/CVERecord?id=CVE-2015-3276,Debian:11,"The nss_parse_ciphers function in libraries/libldap/tls_m.c in OpenLDAP does not properly parse OpenSSL-style multi-keyword mode cipher strings, which might cause a weaker than intended cipher to be used and allow remote attackers to have unspecified impact via unknown vectors."
25,Improper Certificate Validation in openldap | CVE-2020-15719 | Snyk,https://www.cve.org/CVERecord?id=CVE-2020-15719,Debian:11,"libldap in certain third-party OpenLDAP packages has a certificate-validation flaw when the third-party package is asserting RFC6125 support. It considers CN even when there is a non-matching subjectAltName (SAN). This is fixed in, for example, openldap-2.4.46-10.el8 in Red Hat Enterprise Linux."
26,Out-of-bounds Write in ncurses | CVE-2021-39537 | Snyk,https://www.cve.org/CVERecord?id=CVE-2021-39537,Debian:11,An issue was discovered in ncurses through v6.2-1. _nc_captoinfo in captoinfo.c has a heap-based buffer overflow.
27,Out-of-bounds Read in ncurses | CVE-2022-29458 | Snyk,https://www.cve.org/CVERecord?id=CVE-2022-29458,Debian:11,ncurses 6.3 before patch 20220416 has an out-of-bounds read and segmentation violation in convert_strings in tinfo/read_entry.c in the terminfo library.
28,Use of Insufficiently Random Values in libxslt | CVE-2015-9019 | Snyk,https://www.cve.org/CVERecord?id=CVE-2015-9019,Debian:11,"In libxslt 1.1.29 and earlier, the EXSLT math.random function was not initialized with a random seed during startup, which could cause usage of this function to produce predictable outputs."
29,Cross-site Scripting (XSS) in libxml2 | CVE-2016-3709 | Snyk,https://www.cve.org/CVERecord?id=CVE-2016-3709,Debian:11,Possible cross-site scripting vulnerability in libxml after commit 960f0e2.
30,Use After Free in libsepol | CVE-2021-36085 | Snyk,https://www.cve.org/CVERecord?id=CVE-2021-36085,Debian:11,The CIL compiler in SELinux 3.2 has a use-after-free in __cil_verify_classperms (called from __verify_map_perm_classperms and hashtab_map).
31,Out-of-bounds Read in libsepol | CVE-2021-36087 | Snyk,https://www.cve.org/CVERecord?id=CVE-2021-36087,Debian:11,The CIL compiler in SELinux 3.2 has a heap-based buffer over-read in ebitmap_match_any (called indirectly from cil_check_neverallow). This occurs because there is sometimes a lack of checks for invalid statements in an optional block.
32,Use After Free in libsepol | CVE-2021-36084 | Snyk,https://www.cve.org/CVERecord?id=CVE-2021-36084,Debian:11,The CIL compiler in SELinux 3.2 has a use-after-free in __cil_verify_classperms (called from __cil_verify_classpermission and __cil_pre_verify_helper).
33,Use After Free in libsepol | CVE-2021-36086 | Snyk,https://www.cve.org/CVERecord?id=CVE-2021-36086,Debian:11,The CIL compiler in SELinux 3.2 has a use-after-free in cil_reset_classpermission (called from cil_reset_classperms_set and cil_reset_classperms_list).
34,Integer Overflow or Wraparound in libksba | CVE-2022-47629 | Snyk,https://www.cve.org/CVERecord?id=CVE-2022-47629,Debian:11,Libksba before 1.6.3 is prone to an integer overflow vulnerability in the CRL signature parser.
35,Information Exposure in libgcrypt20 | CVE-2021-33560 | Snyk,https://www.cve.org/CVERecord?id=CVE-2021-33560,Debian:11,"Libgcrypt before 1.8.8 and 1.9.x before 1.9.3 mishandles ElGamal encryption because it lacks exponent blinding to address a side-channel attack against mpi_powm, and the window size is not chosen appropriately. This, for example, affects use of ElGamal in OpenPGP."
36,Use of a Broken or Risky Cryptographic Algorithm in libgcrypt20 | CVE-2018-6829 | Snyk,https://www.cve.org/CVERecord?id=CVE-2018-6829,Debian:11,"cipher/elgamal.c in Libgcrypt through 1.8.2, when used to encrypt messages directly, improperly encodes plaintexts, which allows attackers to obtain sensitive information by reading ciphertext data (i.e., it does not have semantic security in face of a ciphertext-only attack). The Decisional Diffie-Hellman (DDH) assumption does not hold for Libgcrypt's ElGamal implementation."
37,CVE-2004-0971 in krb5 | CVE-2004-0971 | Snyk,https://www.cve.org/CVERecord?id=CVE-2004-0971,Debian:11,"The krb5-send-pr script in the kerberos5 (krb5) package in Trustix Secure Linux 1.5 through 2.1, and possibly other operating systems, allows local users to overwrite files via a symlink attack on temporary files."
38,Integer Overflow or Wraparound in krb5 | CVE-2018-5709 | Snyk,https://www.cve.org/CVERecord?id=CVE-2018-5709,Debian:11,"An issue was discovered in MIT Kerberos 5 (aka krb5) through 1.16. There is a variable ""dbentry->n_key_data"" in kadmin/dbutil/dump.c that can store 16-bit data but unknowingly the developer has assigned a ""u4"" variable to it, which is for 32-bit data. An attacker can use this vulnerability to affect other artifacts of the database as we know that a Kerberos database dump file contains trusted data."
39,Improper Input Validation in gnutls28 | CVE-2011-3389 | Snyk,https://www.cve.org/CVERecord?id=CVE-2011-3389,Debian:11,"The SSL protocol, as used in certain configurations in Microsoft Windows and Microsoft Internet Explorer, Mozilla Firefox, Google Chrome, Opera, and other products, encrypts data by using CBC mode with chained initialization vectors, which allows man-in-the-middle attackers to obtain plaintext HTTP headers via a blockwise chosen-boundary attack (BCBA) on an HTTPS session, in conjunction with JavaScript code that uses (1) the HTML5 WebSocket API, (2) the Java URLConnection API, or (3) the Silverlight WebClient API, aka a ""BEAST"" attack."
40,Out-of-Bounds in glibc | CVE-2019-1010022 | Snyk,https://www.cve.org/CVERecord?id=CVE-2019-1010022,Debian:11,"** DISPUTED ** GNU Libc current is affected by: Mitigation bypass. The impact is: Attacker may bypass stack guard protection. The component is: nptl. The attack vector is: Exploit stack buffer overflow vulnerability and use this bypass vulnerability to bypass stack guard. NOTE: Upstream comments indicate ""this is being treated as a non-security bug and no real threat."""
41,Uncontrolled Recursion in glibc | CVE-2019-9192 | Snyk,https://www.cve.org/CVERecord?id=CVE-2019-9192,Debian:11,"** DISPUTED ** In the GNU C Library (aka glibc or libc6) through 2.29, check_dst_limits_calc_pos_1 in posix/regexec.c has Uncontrolled Recursion, as demonstrated by '(|)(\1\1)*' in grep, a different issue than CVE-2018-20796. NOTE: the software maintainer disputes that this is a vulnerability because the behavior occurs only with a crafted pattern."
42,Use of Insufficiently Random Values in glibc | CVE-2019-1010025 | Snyk,https://www.cve.org/CVERecord?id=CVE-2019-1010025,Debian:11,"** DISPUTED ** GNU Libc current is affected by: Mitigation bypass. The impact is: Attacker may guess the heap addresses of pthread_created thread. The component is: glibc. NOTE: the vendor's position is ""ASLR bypass itself is not a vulnerability."""
43,Information Exposure in glibc | CVE-2019-1010024 | Snyk,https://www.cve.org/CVERecord?id=CVE-2019-1010024,Debian:11,"** DISPUTED ** GNU Libc current is affected by: Mitigation bypass. The impact is: Attacker may bypass ASLR using cache of thread stack and heap. The component is: glibc. NOTE: Upstream comments indicate ""this is being treated as a non-security bug and no real threat."""
44,CVE-2019-1010023 in glibc | CVE-2019-1010023 | Snyk,https://www.cve.org/CVERecord?id=CVE-2019-1010023,Debian:11,"** DISPUTED ** GNU Libc current is affected by: Re-mapping current loaded library with malicious ELF file. The impact is: In worst case attacker may evaluate privileges. The component is: libld. The attack vector is: Attacker sends 2 ELF files to victim and asks to run ldd on it. ldd execute code. NOTE: Upstream comments indicate ""this is being treated as a non-security bug and no real threat."""
45,Uncontrolled Recursion in glibc | CVE-2018-20796 | Snyk,https://www.cve.org/CVERecord?id=CVE-2018-20796,Debian:11,"In the GNU C Library (aka glibc or libc6) through 2.29, check_dst_limits_calc_pos_1 in posix/regexec.c has Uncontrolled Recursion, as demonstrated by '(\227|)(\1\1|t1|\\2537)+' in grep."
