,Name,Link,Affected Package,Description
0,Open Redirect in wget | CVE-2021-31879 | Snyk,https://www.cve.org/CVERecord?id=CVE-2021-31879,Debian:11,"GNU Wget through 1.21.1 does not omit the Authorization header upon a redirect to a different origin, a related issue to CVE-2018-1000007."
1,Information Exposure in util-linux | CVE-2022-0563 | Snyk,https://www.cve.org/CVERecord?id=CVE-2022-0563,Debian:11,"A flaw was found in the util-linux chfn and chsh utilities when compiled with Readline support. The Readline library uses an ""INPUTRC"" environment variable to get a path to the library config file. When the library cannot parse the specified file, it prints an error message containing data from the file. This flaw allows an unprivileged user to read root-owned files, potentially leading to privilege escalation. This flaw affects util-linux versions prior to 2.37.4."
2,NULL Pointer Dereference in unzip | CVE-2021-4217 | Snyk,https://www.cve.org/CVERecord?id=CVE-2021-4217,Debian:11,"A flaw was found in unzip. The vulnerability occurs due to improper handling of Unicode strings, which can lead to a null pointer dereference. This flaw allows an attacker to input a specially crafted zip file, leading to a crash or code execution."
3,Out-of-bounds Read in tiff | CVE-2022-1056 | Snyk,https://www.cve.org/CVERecord?id=CVE-2022-1056,Debian:11,"Out-of-bounds Read error in tiffcrop in libtiff 4.3.0 allows attackers to cause a denial-of-service via a crafted tiff file. For users that compile libtiff from sources, the fix is available with commit 46dc8fcd."
4,Resource Exhaustion in tiff | CVE-2022-1210 | Snyk,https://www.cve.org/CVERecord?id=CVE-2022-1210,Debian:11,A vulnerability classified as problematic was found in LibTIFF 4.3.0. Affected by this vulnerability is the TIFF File Handler of tiff2ps. Opening a malicious file leads to a denial of service. The attack can be launched remotely but requires user interaction. The exploit has been disclosed to the public and may be used.
5,Out-of-bounds Read in tiff | CVE-2022-1354 | Snyk,https://www.cve.org/CVERecord?id=CVE-2022-1354,Debian:11,"A heap buffer overflow flaw was found in Libtiffs' tiffinfo.c in TIFFReadRawDataStriped() function. This flaw allows an attacker to pass a crafted TIFF file to the tiffinfo tool, triggering a heap buffer overflow issue and causing a crash that leads to a denial of service."
6,Stack-based Buffer Overflow in tiff | CVE-2022-1355 | Snyk,https://www.cve.org/CVERecord?id=CVE-2022-1355,Debian:11,"A stack buffer overflow flaw was found in Libtiffs' tiffcp.c in main() function. This flaw allows an attacker to pass a crafted TIFF file to the tiffcp tool, triggering a stack buffer overflow issue, possibly corrupting the memory, and causing a crash that leads to a denial of service."
7,Out-of-bounds Read in tiff | CVE-2022-1623 | Snyk,https://www.cve.org/CVERecord?id=CVE-2022-1623,Debian:11,"LibTIFF master branch has an out-of-bounds read in LZWDecode in libtiff/tif_lzw.c:624, allowing attackers to cause a denial-of-service via a crafted tiff file. For users that compile libtiff from sources, the fix is available with commit b4e79bfa."
8,Out-of-bounds Read in tiff | CVE-2022-1622 | Snyk,https://www.cve.org/CVERecord?id=CVE-2022-1622,Debian:11,"LibTIFF master branch has an out-of-bounds read in LZWDecode in libtiff/tif_lzw.c:619, allowing attackers to cause a denial-of-service via a crafted tiff file. For users that compile libtiff from sources, the fix is available with commit b4e79bfa."
9,Divide By Zero in tiff | CVE-2022-2056 | Snyk,https://www.cve.org/CVERecord?id=CVE-2022-2056,Debian:11,"Divide By Zero error in tiffcrop in libtiff 4.4.0 allows attackers to cause a denial-of-service via a crafted tiff file. For users that compile libtiff from sources, the fix is available with commit f3a5e010."
10,Divide By Zero in tiff | CVE-2022-2057 | Snyk,https://www.cve.org/CVERecord?id=CVE-2022-2057,Debian:11,"Divide By Zero error in tiffcrop in libtiff 4.4.0 allows attackers to cause a denial-of-service via a crafted tiff file. For users that compile libtiff from sources, the fix is available with commit f3a5e010."
11,Divide By Zero in tiff | CVE-2022-2058 | Snyk,https://www.cve.org/CVERecord?id=CVE-2022-2058,Debian:11,"Divide By Zero error in tiffcrop in libtiff 4.4.0 allows attackers to cause a denial-of-service via a crafted tiff file. For users that compile libtiff from sources, the fix is available with commit f3a5e010."
12,Out-of-bounds Write in tiff | CVE-2022-34526 | Snyk,https://www.cve.org/CVERecord?id=CVE-2022-34526,Debian:11,"A stack overflow was discovered in the _TIFFVGetField function of Tiffsplit v4.4.0. This vulnerability allows attackers to cause a Denial of Service (DoS) via a crafted TIFF file parsed by the ""tiffsplit"" or ""tiffcrop"" utilities."
13,Out-of-bounds Read in tiff | CVE-2022-2869 | Snyk,https://www.cve.org/CVERecord?id=CVE-2022-2869,Debian:11,"libtiff's tiffcrop tool has a uint32_t underflow which leads to out of bounds read and write in the extractContigSamples8bits routine. An attacker who supplies a crafted file to tiffcrop could trigger this flaw, most likely by tricking a user into opening the crafted file with tiffcrop. Triggering this flaw could cause a crash or potentially further exploitation."
14,Out-of-bounds Read in tiff | CVE-2022-2867 | Snyk,https://www.cve.org/CVERecord?id=CVE-2022-2867,Debian:11,"libtiff's tiffcrop utility has a uint32_t underflow that can lead to out of bounds read and write. An attacker who supplies a crafted file to tiffcrop (likely via tricking a user to run tiffcrop on it with certain parameters) could cause a crash or in some cases, further exploitation."
15,Improper Input Validation in tiff | CVE-2022-2868 | Snyk,https://www.cve.org/CVERecord?id=CVE-2022-2868,Debian:11,libtiff's tiffcrop utility has a improper input validation flaw that can lead to out of bounds read and ultimately cause a crash if an attacker is able to supply a crafted file to tiffcrop.
16,Out-of-bounds Read in tiff | CVE-2022-2953 | Snyk,https://www.cve.org/CVERecord?id=CVE-2022-2953,Debian:11,"LibTIFF 4.4.0 has an out-of-bounds read in extractImageSection in tools/tiffcrop.c:6905, allowing attackers to cause a denial-of-service via a crafted tiff file. For users that compile libtiff from sources, the fix is available with commit 48d6ece8."
17,Double Free in tiff | CVE-2022-2519 | Snyk,https://www.cve.org/CVERecord?id=CVE-2022-2519,Debian:11,There is a double free or corruption in rotateImage() at tiffcrop.c:8839 found in libtiff 4.4.0rc1
18,Reachable Assertion in tiff | CVE-2022-2520 | Snyk,https://www.cve.org/CVERecord?id=CVE-2022-2520,Debian:11,A flaw was found in libtiff 4.4.0rc1. There is a sysmalloc assertion fail in rotateImage() at tiffcrop.c:8621 that can cause program crash when reading a crafted input.
