,Name,Link,Affected Package,Description
0,Uncontrolled Recursion in pcre3 | CVE-2017-11164 | Snyk,https://www.cve.org/CVERecord?id=CVE-2017-11164,Ubuntu:22.04,"In PCRE 8.41, the OP_KETRMAX feature in the match function in pcre_exec.c allows stack exhaustion (uncontrolled recursion) when processing a crafted regular expression."
1,Improper Locking in openssl | CVE-2022-3996 | Snyk,https://www.cve.org/CVERecord?id=CVE-2022-3996,Ubuntu:22.04,"If an X.509 certificate contains a malformed policy constraint and policy processing is enabled, then a write lock will be taken twice recursively. On some operating systems (most widely: Windows) this results in a denial of service when the affected process hangs. Policy processing being enabled on a publicly facing server is not considered to be a common setup. Policy processing is enabled by passing the -policy&#39; argument to the command line utilities or by calling either X509_VERIFY_PARAM_add0_policy()' or `X509_VERIFY_PARAM_set1_policies()' functions."
2,Out-of-bounds Read in ncurses | CVE-2022-29458 | Snyk,https://www.cve.org/CVERecord?id=CVE-2022-29458,Ubuntu:22.04,ncurses 6.3 before patch 20220416 has an out-of-bounds read and segmentation violation in convert_strings in tinfo/read_entry.c in the terminfo library.
3,CVE-2022-3857 in libpng1.6 | CVE-2022-3857 | Snyk,https://www.cve.org/CVERecord?id=CVE-2022-3857,Ubuntu:22.04,© 2023 Snyk Limited
4,Integer Overflow or Wraparound in krb5 | CVE-2018-5709 | Snyk,https://www.cve.org/CVERecord?id=CVE-2018-5709,Ubuntu:22.04,"An issue was discovered in MIT Kerberos 5 (aka krb5) through 1.16. There is a variable ""dbentry->n_key_data"" in kadmin/dbutil/dump.c that can store 16-bit data but unknowingly the developer has assigned a ""u4"" variable to it, which is for 32-bit data. An attacker can use this vulnerability to affect other artifacts of the database as we know that a Kerberos database dump file contains trusted data."
5,CVE-2022-3219 in gnupg2 | CVE-2022-3219 | Snyk,https://www.cve.org/CVERecord?id=CVE-2022-3219,Ubuntu:22.04,© 2023 Snyk Limited
6,Allocation of Resources Without Limits or Throttling in glibc | CVE-2016-20013 | Snyk,https://www.cve.org/CVERecord?id=CVE-2016-20013,Ubuntu:22.04,sha256crypt and sha512crypt through 0.6 allow attackers to cause a denial of service (CPU consumption) because the algorithm's runtime is proportional to the square of the length of the password.
7,Improper Input Validation in coreutils | CVE-2016-2781 | Snyk,https://www.cve.org/CVERecord?id=CVE-2016-2781,Ubuntu:22.04,"chroot in GNU coreutils, when used with --userspec, allows local users to escape to the parent session via a crafted TIOCSTI ioctl call, which pushes characters to the terminal's input buffer."
8,Uncontrolled Recursion in binutils | CVE-2021-3530 | Snyk,https://www.cve.org/CVERecord?id=CVE-2021-3530,Ubuntu:22.04,"A flaw was discovered in GNU libiberty within demangle_path() in rust-demangle.c, as distributed in GNU Binutils version 2.36. A crafted symbol can cause stack memory to be exhausted leading to a crash."
9,Improper Input Validation in binutils | CVE-2019-1010204 | Snyk,https://www.cve.org/CVERecord?id=CVE-2019-1010204,Ubuntu:22.04,"GNU binutils gold gold v1.11-v1.16 (GNU binutils v2.21-v2.31.1) is affected by: Improper Input Validation, Signed/Unsigned Comparison, Out-of-bounds Read. The impact is: Denial of service. The component is: gold/fileread.cc:497, elfcpp/elfcpp_file.h:644. The attack vector is: An ELF file with an invalid e_shoff header field must be opened."
10,Missing Release of Resource after Effective Lifetime in binutils | CVE-2018-20657 | Snyk,https://www.cve.org/CVERecord?id=CVE-2018-20657,Ubuntu:22.04,"The demangle_template function in cplus-dem.c in GNU libiberty, as distributed in GNU Binutils 2.31.1, has a memory leak via a crafted string, leading to a denial of service (memory consumption), as demonstrated by cxxfilt, a related issue to CVE-2018-12698."
11,Allocation of Resources Without Limits or Throttling in binutils | CVE-2017-13716 | Snyk,https://www.cve.org/CVERecord?id=CVE-2017-13716,Ubuntu:22.04,"The C++ symbol demangler routine in cplus-dem.c in libiberty, as distributed in GNU Binutils 2.29, allows remote attackers to cause a denial of service (excessive memory allocation and application crash) via a crafted file, as demonstrated by a call from the Binary File Descriptor (BFD) library (aka libbfd)."
